idx,code,pos,school,rom_n,rom_c,rom_f,mat_n,mat_c,mat_f,mat_lang,mat_lang_n,mat_lang_c,mat_lang_f,media
1167,SB9915487,1167,"ŞCOALA GIMNAZIALĂ ""IOAN SLAVICI"" SIBIU",7.30,-,-,8.20,-,-,-,-,-,-,7.75
1168,SB9064814,1168,"ŞCOALA GIMNAZIALĂ ""REGINA MARIA"" SIBIU",7.25,7.75,7.75,7.75,-,-,-,-,-,-,7.75
1169,SB12619518,1169,LICEUL DE ARTĂ SIBIU,7.20,-,-,8.30,-,-,-,-,-,-,7.75
1170,SB12652942,1170,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",6.65,-,-,8.85,-,-,-,-,-,-,7.75
1171,SB12615964,1171,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",8.85,-,-,7.15,-,-,Limba germana,7.40,7.20,7.20,7.73
1172,SB10072250,1172,"ŞCOALA GIMNAZIALĂ ""BATHORY ISTVAN"" MEDIAŞ",8.40,-,-,6.55,-,-,Limba maghiara,8.25,-,-,7.73
1173,SB10514671,1173,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",8.10,-,-,7.05,7.25,7.25,Limba germana,7.85,-,-,7.73
1174,SB10100648,1174,"ŞCOALA GIMNAZIALĂ ""GEORGE POPA"" MEDIAŞ",8.60,-,-,6.85,-,-,-,-,-,-,7.72
1175,SB9232507,1175,ŞCOALA GIMNAZIALĂ NR. 2 CISNĂDIE,8.50,-,-,6.95,-,-,-,-,-,-,7.72
1176,SB10109484,1176,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,8.30,-,-,7.15,-,-,-,-,-,-,7.72
1177,SB10344099,1177,"ŞCOALA GIMNAZIALĂ ""MIHAI VITEAZU"" ŞELIMBĂR",8.20,8.15,8.15,7.30,-,-,-,-,-,-,7.72
1178,SB10563329,1178,"COLEGIUL NAȚIONAL PEDAGOGIC ""ANDREI ŞAGUNA"" SIBIU",8.15,-,-,7.30,-,-,-,-,-,-,7.72
1179,SB9382539,1179,"LICEUL TEORETIC ""GUSTAV GÜNDISCH"" CISNĂDIE",8.10,7.95,7.95,7.50,-,-,-,-,-,-,7.72
1180,SB8952838,1180,"ŞCOALA GIMNAZIALĂ ""CIREŞARII"" MEDIAŞ",8.00,-,-,7.45,-,-,-,-,-,-,7.72
1181,SB10464456,1181,"COLEGIUL NAȚIONAL PEDAGOGIC ""ANDREI ŞAGUNA"" SIBIU",7.90,8.25,8.25,7.20,-,-,-,-,-,-,7.72
1182,SB10745823,1182,"ŞCOALA GIMNAZIALĂ ""NICOLAE IORGA"" SIBIU",7.80,7.75,7.75,7.70,-,-,-,-,-,-,7.72
1183,SB8870683,1183,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",7.60,7.60,7.60,7.85,-,-,-,-,-,-,7.72
1184,SB3977051,1184,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,7.45,-,-,8.00,-,-,-,-,-,-,7.72
1185,SB12615742,1185,"LICEUL TEHNOLOGIC ""IOAN LUPAŞ"" SĂLIŞTE",7.35,7.80,7.80,7.65,-,-,-,-,-,-,7.72
1186,SB9975674,1186,"LICEUL TEHNOLOGIC ""IOAN LUPAŞ"" SĂLIŞTE",7.30,-,-,8.15,-,-,-,-,-,-,7.72
1187,SB10064500,1187,ŞCOALA GIMNAZIALĂ NR. 25 SIBIU,7.05,7.10,7.10,8.35,-,-,-,-,-,-,7.72
1188,SB10321576,1188,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN IOAN MOTAŞ"" MEDIAŞ",6.80,-,-,8.65,-,-,-,-,-,-,7.72
1189,SB10279068,1189,"ŞCOALA GIMNAZIALĂ ""GEORG DANIEL TEUTSCH"" AGNITA",7.95,-,-,7.15,-,-,Limba germana,8.05,-,-,7.71
1190,SB10109967,1190,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",6.90,7.40,7.40,7.10,-,-,Limba germana,8.65,-,-,7.71
1191,SB8128394,1191,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,8.15,-,-,7.25,-,-,-,-,-,-,7.70
